Area,Item,Element,Unit,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Morocco,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,0.2942,0.0011,0.2642,0.1052,0.1076,0.4047,0.4108,0.415,0.4497,0.4638,0.4638
Morocco,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,2622.1391,2110.4305,2255.3732,2346.1069,3265.6726,2654.5116,2708.2593,2749.8875,2994.329,3101.03,3101.03
Myanmar,Fertilizers Manufacturing,Emissions (N2O),kt,0.6317,0.6391,0.6621,0.6537,0.6929,0.7271,0.7379,0.7454,0.8079,0.833,0.833
Myanmar,Fertilizers Manufacturing,Emissions (CO2),kt,146.2128,114.0262,115.4341,93.3227,51.9516,55.1497,65.4337,189.0495,243.5355,152.3613,152.3613
Myanmar,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,167.4021,169.3573,175.4472,173.2215,183.6299,192.6916,195.531,197.5382,214.0879,220.7429,220.7429
Myanmar,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,313.6148,283.3835,290.8813,266.5442,235.5815,247.8413,260.9648,386.5877,457.6234,373.1042,373.1042
Netherlands (Kingdom of the),Fertilizers Manufacturing,Emissions (N2O),kt,1.8573,1.8043,1.7978,1.7096,1.748,1.2461,1.2839,1.3154,1.4443,1.5072,1.5072
Netherlands (Kingdom of the),Fertilizers Manufacturing,Emissions (CO2),kt,4571.7963,4441.4274,4425.3133,4208.3597,4302.8576,3067.3352,3160.3185,3237.9299,3555.1167,3710.1172,3710.1172
Netherlands (Kingdom of the),Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,492.1797,478.1448,476.4101,453.0538,463.2269,330.216,340.2261,348.5815,382.7284,399.4152,399.4152
Netherlands (Kingdom of the),Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,5063.976,4919.5722,4901.7235,4661.4135,4766.0845,3397.5511,3500.5445,3586.5114,3937.8451,4109.5323,4109.5323
New Caledonia,Fertilizers Manufacturing,Emissions (N2O),kt,0.0011,0.001,0.001,0.001,0.001,0.001,0.0009,0.0008,0.001,0.0009,0.0009
New Caledonia,Fertilizers Manufacturing,Emissions (CO2),kt,1.028,0.9987,0.9951,0.9463,0.9675,0.9805,0.8563,0.9269,0.9578,0.8569,0.8569
New Caledonia,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,0.2849,0.2767,0.2756,0.2621,0.2679,0.2716,0.2255,0.2189,0.2722,0.2321,0.2321
New Caledonia,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,1.3129,1.2754,1.2707,1.2084,1.2355,1.2521,1.0818,1.1458,1.23,1.0891,1.0891
New Zealand,Fertilizers Manufacturing,Emissions (CO2),kt,310.9215,313.0432,322.8555,317.4387,335.2118,350.4817,354.4419,356.9408,385.6874,396.5549,396.5549
New Zealand,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,310.9215,313.0432,322.8555,317.4387,335.2118,350.4817,354.4419,356.9408,385.6874,396.5549,396.5549
Nigeria,Fertilizers Manufacturing,Emissions (CO2),kt,250.8459,165.6454,113.1437,173.8267,438.4112,907.9322,369.5525,379.505,417.5601,436.6059,436.6059
Nigeria,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,250.8459,165.6454,113.1437,173.8267,438.4112,907.9322,369.5525,379.505,417.5601,436.6059,436.6059
Oman,Fertilizers Manufacturing,Emissions (CO2),kt,1179.4928,3693.1875,3245.6289,3201.3295,3273.2147,2897.5439,2976.6745,3804.5631,3331.5067,3468.9879,3468.9879
Oman,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,1179.4928,3693.1875,3245.6289,3201.3295,3273.2147,2897.5439,2976.6745,3804.5631,3331.5067,3468.9879,3468.9879
Pakistan,Fertilizers Manufacturing,Emissions (N2O),kt,1.3974,1.3575,1.392,1.8739,1.7344,1.7436,1.2947,1.0859,2.1363,1.9275,1.9275
Pakistan,Fertilizers Manufacturing,Emissions (CO2),kt,4520.9336,5038.3285,5079.7519,5358.9308,6008.9815,5794.7068,5484.713,5839.4194,6328.6818,7061.1526,7061.1526
Pakistan,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,370.3115,359.7322,368.8869,496.571,459.6096,462.0484,343.105,287.7585,566.1105,510.7888,510.7888
Pakistan,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,4891.2452,5398.0607,5448.6388,5855.5018,6468.5911,6256.7552,5827.818,6127.1778,6894.7923,7571.9414,7571.9414
Panama,Fertilizers Manufacturing,Emissions (CO2),kt,1.3438,1.3055,1.3008,1.237,1.2648,1.2817,1.2575,1.2296,1.2912,0.8645,0.8645
Panama,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,1.3438,1.3055,1.3008,1.237,1.2648,1.2817,1.2575,1.2296,1.2912,0.8645,0.8645
Peru,Fertilizers Manufacturing,Emissions (CO2),kt,0.1819,0.1823,0.1873,0.1834,0.193,0.2011,0.2027,0.2035,0.2193,0.2249,0.2249
Peru,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,0.1819,0.1823,0.1873,0.1834,0.193,0.2011,0.2027,0.2035,0.2193,0.2249,0.2249
Philippines,Fertilizers Manufacturing,Emissions (CO2),kt,424.2003,348.5328,355.1844,217.6894,265.0524,281.4482,390.0954,136.4101,365.0198,380.1025,380.1025
Philippines,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,424.2003,348.5328,355.1844,217.6894,265.0524,281.4482,390.0954,136.4101,365.0198,380.1025,380.1025
Poland,Fertilizers Manufacturing,Emissions (N2O),kt,13.11,12.4648,13.3192,12.9477,12.9269,13.298,12.5371,12.3988,13.4485,15.6301,15.6301
Poland,Fertilizers Manufacturing,Emissions (CO2),kt,4342.1952,4093.0821,5790.8814,11085.9512,11112.8994,11701.7703,10880.6782,10511.0021,11466.6245,10598.2286,10598.2286
Poland,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,3474.1513,3303.181,3529.5973,3431.1453,3425.6208,3523.9724,3322.3363,3285.6759,3563.8597,4141.9709,4141.9709
Poland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,7816.3465,7396.2631,9320.4786,14517.0965,14538.5202,15225.7426,14203.0145,13796.6781,15030.4841,14740.1995,14740.1995
Portugal,Fertilizers Manufacturing,Emissions (N2O),kt,0.1924,0.146,0.1802,0.1667,0.2124,0.2216,0.2237,0.2248,0.2425,0.2489,0.2489
Portugal,Fertilizers Manufacturing,Emissions (CO2),kt,321.6232,406.2973,446.4392,426.6327,166.1431,168.3647,348.0042,163.6159,373.7522,381.9574,381.9574
Portugal,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,50.9958,38.6919,47.7535,44.175,56.2812,58.7227,59.2699,59.5773,64.2628,65.9643,65.9643
Portugal,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,372.619,444.9891,494.1927,470.8077,222.4243,227.0874,407.2741,223.1932,438.015,447.9217,447.9217
Qatar,Fertilizers Manufacturing,Emissions (CO2),kt,2943.8848,7129.7864,7355.6003,6998.638,7156.1578,3.3533,3.8614,3592.6815,3910.8876,4049.1379,4049.1379
Qatar,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,2943.8848,7129.7864,7355.6003,6998.638,7156.1578,3.3533,3.8614,3592.6815,3910.8876,4049.1379,4049.1379
Republic of Korea,Fertilizers Manufacturing,Emissions (CO2),kt,3514.4083,2981.0703,2863.1367,2343.3334,2418.2191,2718.1702,2664.7827,3142.6505,3106.6622,3570.4336,3570.4336
Republic of Korea,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,3514.4083,2981.0703,2863.1367,2343.3334,2418.2191,2718.1702,2664.7827,3142.6505,3106.6622,3570.4336,3570.4336
Romania,Fertilizers Manufacturing,Emissions (N2O),kt,2.9772,3.8666,4.0771,2.6481,2.3194,2.2707,2.4826,1.9805,3.4915,3.62,3.62
Romania,Fertilizers Manufacturing,Emissions (CO2),kt,1194.4197,4531.0633,4710.5511,2639.2526,2375.1286,2714.4658,2908.3837,2436.8481,2513.9819,3028.0128,3028.0128
Romania,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,788.9447,1024.6591,1080.4265,701.7529,614.6288,601.7472,657.8988,524.8203,925.2364,959.2907,959.2907
Romania,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,1983.3645,5555.7224,5790.9776,3341.0054,2989.7574,3316.213,3566.2825,2961.6684,3439.2183,3987.3036,3987.3036
Russian Federation,Fertilizers Manufacturing,Emissions (N2O),kt,39.4595,40.7978,40.0068,41.6267,45.0817,42.7245,40.8967,42.4414,48.4817,51.3362,51.3362
Russian Federation,Fertilizers Manufacturing,Emissions (CO2),kt,20180.0637,19168.4337,23182.6723,23682.5232,25570.1455,27490.3495,26174.0596,26420.8021,29442.1664,29732.8632,29732.8632
Russian Federation,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,10456.7754,10811.4255,10601.7951,11031.0848,11946.6391,11321.9843,10837.6289,11246.9734,12847.6547,13604.0943,13604.0943
Russian Federation,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,30636.8392,29979.8592,33784.4674,34713.608,37516.7846,38812.3337,37011.6885,37667.7755,42289.8212,43336.9575,43336.9575
Saudi Arabia,Fertilizers Manufacturing,Emissions (CO2),kt,8823.511,9191.7106,7920.7455,9650.921,9867.6305,9316.6822,10172.4471,10298.1558,11182.5779,11551.1703,11551.1703
Saudi Arabia,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,8823.511,9191.7106,7920.7455,9650.921,9867.6305,9316.6822,10172.4471,10298.1558,11182.5779,11551.1703,11551.1703
Senegal,Fertilizers Manufacturing,Emissions (CO2),kt,39.1784,40.3552,42.4945,42.5848,76.9307,155.9548,55.2442,9.8215,55.7953,58.0641,58.0641
Senegal,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,39.1784,40.3552,42.4945,42.5848,76.9307,155.9548,55.2442,9.8215,55.7953,58.0641,58.0641
Serbia,Fertilizers Manufacturing,Emissions (N2O),kt,0.129,0.2194,0.1576,0.1415,0.1273,0.0586,0.0651,0.0159,0.0185,0.1055,0.1055
Serbia,Fertilizers Manufacturing,Emissions (CO2),kt,392.386,515.8127,430.1957,383.4268,375.2366,290.4694,302.1619,320.306,291.1801,415.6333,415.6333
Serbia,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,34.1975,58.1399,41.7576,37.5086,33.734,15.5372,17.256,4.2074,4.9134,27.9668,27.9668
Serbia,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,426.5834,573.9527,471.9533,420.9354,408.9705,306.0066,319.418,324.5134,296.0934,443.6001,443.6001
Slovakia,Fertilizers Manufacturing,Emissions (CO2),kt,0.0093,0.0094,0.0097,0.0096,0.0102,0.0107,0.0108,0.0109,0.0119,0.0122,0.0122
Slovakia,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,0.0093,0.0094,0.0097,0.0096,0.0102,0.0107,0.0108,0.0109,0.0119,0.0122,0.0122
Slovenia,Fertilizers Manufacturing,Emissions (N2O),kt,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
Slovenia,Fertilizers Manufacturing,Emissions (CO2),kt,0.8342,0.8452,0.8767,0.8666,0.9482,0.9662,0.9814,0.9924,1.0764,1.1108,1.1108
Slovenia,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,0.0766,0.0761,0.0774,0.0753,0.0784,0.0814,0.0814,0.0811,0.0869,0.0885,0.0885
Slovenia,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,0.9108,0.9212,0.9541,0.9419,1.0267,1.0475,1.0627,1.0735,1.1634,1.1993,1.1993
Spain,Fertilizers Manufacturing,Emissions (N2O),kt,0.5401,0.5437,0.5606,0.5511,0.5818,0.6082,0.6149,0.6191,0.6689,0.6876,0.6876
Spain,Fertilizers Manufacturing,Emissions (CO2),kt,2469.0309,2487.2063,2566.443,2524.5552,2667.0618,2789.6916,2822.294,2843.2178,3073.245,3160.8567,3160.8567
Spain,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,143.1371,144.0763,148.5558,146.0301,154.173,161.1637,162.9541,164.0737,177.2577,182.2233,182.2233
Spain,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,2612.168,2631.2826,2714.9988,2670.5853,2821.2349,2950.8553,2985.2481,3007.2915,3250.5027,3343.08,3343.08
Syrian Arab Republic,Fertilizers Manufacturing,Emissions (N2O),kt,0.269,0.082,0.4759,0.4627,0.4835,0.5004,0.5013,0.5003,0.5359,0.5465,0.5465
Syrian Arab Republic,Fertilizers Manufacturing,Emissions (CO2),kt,143.0845,46.2334,229.3369,224.0878,235.2485,244.6051,246.0761,246.5844,265.1927,271.4497,271.4497
Syrian Arab Republic,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,71.2937,21.7289,126.1156,122.62,128.1211,132.6187,132.8442,132.5731,142.0188,144.8238,144.8238
Syrian Arab Republic,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,214.3783,67.9623,355.4525,346.7078,363.3697,377.2239,378.9203,379.1576,407.2115,416.2735,416.2735
Tajikistan,Fertilizers Manufacturing,Emissions (CO2),kt,20.7407,21.0913,21.9534,21.7698,23.1713,24.406,24.8522,25.1891,27.3825,28.3143,28.3143
Tajikistan,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,20.7407,21.0913,21.9534,21.7698,23.1713,24.406,24.8522,25.1891,27.3825,28.3143,28.3143
Thailand,Fertilizers Manufacturing,Emissions (CO2),kt,586.4306,569.708,567.641,539.8121,551.9335,559.3139,379.2348,388.8662,427.2782,446.2121,446.2121
Thailand,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,586.4306,569.708,567.641,539.8121,551.9335,559.3139,379.2348,388.8662,427.2782,446.2121,446.2121
Trinidad and Tobago,Fertilizers Manufacturing,Emissions (N2O),kt,2.3377,2.1863,2.0939,2.1813,1.988,2.0735,1.9606,2.1675,2.581,2.6816,2.6816
Trinidad and Tobago,Fertilizers Manufacturing,Emissions (CO2),kt,13359.3007,12295.0369,12387.196,12335.1367,12582.6127,13029.4498,12337.5083,13552.7455,16542.0925,17030.9856,17030.9856
Trinidad and Tobago,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,619.4955,579.3608,554.871,578.0482,526.8067,549.4897,519.5569,574.3878,683.9653,710.615,710.615
Trinidad and Tobago,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,13978.7963,12874.3977,12942.067,12913.1849,13109.4195,13578.9395,12857.0652,14127.1333,17226.0578,17741.6006,17741.6006
Tunisia,Fertilizers Manufacturing,Emissions (N2O),kt,0.599,0.565,0.5853,0.5779,0.6127,0.6429,0.6524,0.6591,0.7144,0.7366,0.7366
Tunisia,Fertilizers Manufacturing,Emissions (CO2),kt,718.4577,1002.6074,1032.801,1014.3399,1070.0117,1117.6548,1129.2381,1136.2081,1226.7026,1260.2851,1260.2851
Tunisia,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,158.7422,149.7189,155.1095,153.1477,162.3562,170.3738,172.8902,174.67,189.3094,195.1993,195.1993
Tunisia,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,877.1999,1152.3263,1187.9105,1167.4876,1232.3679,1288.0286,1302.1283,1310.878,1416.012,1455.4844,1455.4844
TÃ¼rkiye,Fertilizers Manufacturing,Emissions (N2O),kt,5.9008,5.5268,5.5945,4.445,3.6286,3.6093,5.3435,6.9279,7.1847,7.0904,7.0904
TÃ¼rkiye,Fertilizers Manufacturing,Emissions (CO2),kt,1778.9303,1637.2962,1556.7078,1208.3172,1042.4537,1174.773,1380.3448,1677.6417,2439.8977,2121.0861,2121.0861
TÃ¼rkiye,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,1563.721,1464.6065,1482.5444,1177.9356,961.5705,956.4563,1416.0217,1835.902,1903.9458,1878.9473,1878.9473
TÃ¼rkiye,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,3342.6513,3101.9027,3039.2521,2386.2528,2004.0242,2131.2293,2796.3665,3513.5437,4343.8434,4000.0334,4000.0334
Ukraine,Fertilizers Manufacturing,Emissions (N2O),kt,11.4451,10.2896,7.2362,4.9213,6.296,5.3102,5.3526,7.6604,7.3394,9.4695,9.4695
Ukraine,Fertilizers Manufacturing,Emissions (CO2),kt,5782.763,15113.6536,10820.6677,8941.5325,7886.2622,5063.9996,4365.9534,7392.1287,10324.7675,9443.232,9443.232
Ukraine,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,3032.9483,2726.731,1917.606,1304.1517,1668.4281,1407.1964,1418.4305,2030.0182,1944.9291,2509.4194,2509.4194
Ukraine,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,8815.7113,17840.3846,12738.2736,10245.6841,9554.6903,6471.196,5784.3839,9422.1469,12269.6966,11952.6514,11952.6514
United Arab Emirates,Fertilizers Manufacturing,Emissions (CO2),kt,1282.1775,2518.9307,3572.5991,3397.4503,3473.7394,2850.1723,2907.4924,2951.8171,3213.8385,3328.0048,3328.0048
United Arab Emirates,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,1282.1775,2518.9307,3572.5991,3397.4503,3473.7394,2850.1723,2907.4924,2951.8171,3213.8385,3328.0048,3328.0048
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (N2O),kt,0.661,0.6677,0.6908,0.6811,0.7212,0.756,0.7664,0.7735,0.8375,0.8628,0.8628
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2),kt,1140.3832,1151.4775,1190.7549,1173.7022,1242.3101,1301.7399,1319.1479,1331.0092,1440.8145,1483.9502,1483.9502
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,175.1517,176.9381,183.0522,180.5029,191.1252,200.3379,203.0833,204.9719,221.9452,228.6518,228.6518
United Kingdom of Great Britain and Northern Ireland,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,1315.5349,1328.4156,1373.8071,1354.2051,1433.4352,1502.0778,1522.2312,1535.9812,1662.7597,1712.602,1712.602
United States of America,Fertilizers Manufacturing,Emissions (N2O),kt,24.7486,25.3945,24.615,21.2389,23.2872,25.3603,26.2689,25.3057,31.2267,32.3724,32.3724
United States of America,Fertilizers Manufacturing,Emissions (CO2),kt,15887.7358,20688.3474,21881.0618,21627.8728,22486.6366,25492.1166,27599.3629,28225.9716,27547.3291,28635.4046,28635.4046
United States of America,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,6558.3872,6729.5422,6522.9819,5628.3165,6171.0995,6720.4829,6961.2503,6706.0216,8275.0718,8578.6738,8578.6738
United States of America,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,22446.123,27417.8896,28404.0437,27256.1893,28657.7361,32212.5996,34560.6132,34931.9932,35822.4009,37214.0785,37214.0785
Uruguay,Fertilizers Manufacturing,Emissions (CO2),kt,7.0657,8.3716,8.3412,7.9323,8.1104,8.5615,8.7573,8.9131,9.7268,10.094,10.094
Uruguay,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,7.0657,8.3716,8.3412,7.9323,8.1104,8.5615,8.7573,8.9131,9.7268,10.094,10.094
Uzbekistan,Fertilizers Manufacturing,Emissions (N2O),kt,7.8752,6.9891,7.8043,6.936,6.7097,2.1376,2.2759,2.3602,2.2934,5.9795,5.9795
Uzbekistan,Fertilizers Manufacturing,Emissions (CO2),kt,2116.0771,4993.333,5480.6756,5102.9487,5185.9768,743.6231,781.3723,842.2363,772.5498,2790.1595,2790.1595
Uzbekistan,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,2086.9171,1852.1221,2068.1334,1838.0281,1778.0644,566.4616,603.1103,625.4424,607.7465,1584.559,1584.559
Uzbekistan,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,4202.9943,6845.4551,7548.809,6940.9768,6964.0412,1310.0847,1384.4826,1467.6787,1380.2963,4374.7185,4374.7185
Venezuela (Bolivarian Republic of),Fertilizers Manufacturing,Emissions (CO2),kt,4045.8476,3092.6242,3349.8632,2657.4314,4231.9212,4449.7155,4523.7828,4578.2447,4969.9691,5132.3714,5132.3714
Venezuela (Bolivarian Republic of),Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,4045.8476,3092.6242,3349.8632,2657.4314,4231.9212,4449.7155,4523.7828,4578.2447,4969.9691,5132.3714,5132.3714
Viet Nam,Fertilizers Manufacturing,Emissions (CO2),kt,1392.8935,5556.8829,5642.5837,5233.133,5052.997,5393.953,5156.2687,5175.3903,5654.5288,5254.9818,5254.9818
Viet Nam,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,1392.8935,5556.8829,5642.5837,5233.133,5052.997,5393.953,5156.2687,5175.3903,5654.5288,5254.9818,5254.9818
