Area,Item,Element,Unit,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Bulgaria,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,2.2296,2.1661,1.207,1.4321,1.6452,2.6139,2.9663,3.4469,4.1275,2.9655,2.9655
Canada,Fertilizers Manufacturing,Emissions (N2O),kt,3.0515,3.3629,3.4247,3.5319,5.5779,5.1291,5.5032,5.4699,6.2132,6.081,6.081
Canada,Fertilizers Manufacturing,Emissions (CO2),kt,7522.0373,18418.5031,18424.0059,18754.3527,19917.303,19309.3723,14899.248,14897.4177,21376.647,19258.0816,19258.0816
Canada,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,808.656,891.1592,907.5527,935.9657,1478.1377,1359.2115,1458.3552,1449.5269,1646.5049,1611.4669,1611.4669
Canada,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,8330.6932,19309.6623,19331.5586,19690.3184,21395.4406,20668.5838,16357.6031,16346.9446,23023.1519,20869.5484,20869.5484
Chile,Fertilizers Manufacturing,Emissions (N2O),kt,1.5211,1.5432,1.6029,1.5864,1.6855,1.7724,1.802,1.8238,1.98,2.0448,2.0448
Chile,Fertilizers Manufacturing,Emissions (CO2),kt,489.0075,497.7312,518.5113,514.5697,548.0852,577.6689,588.5861,596.9004,649.2188,671.6387,671.6387
Chile,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,403.0899,408.9599,424.7775,420.4058,446.6686,469.6892,477.5382,483.3165,524.7,541.8741,541.8741
Chile,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,892.0974,906.6911,943.2889,934.9755,994.7539,1047.358,1066.1243,1080.2169,1173.9188,1213.5128,1213.5128
China,Fertilizers Manufacturing,Emissions (N2O),kt,108.2141,107.8253,117.712,114.3996,108.2136,101.9743,93.8555,91.0414,94.2607,94.2609,94.2609
China,Fertilizers Manufacturing,Emissions (CO2),kt,129828.3027,128508.7501,139632.752,136434.5409,131198.3513,121001.2812,110477.1538,107262.3863,111099.7948,111454.0456,111454.0456
China,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,28676.727,28573.7048,31193.671,30315.8898,28676.6059,27023.1823,24871.7107,24125.9819,24979.0958,24979.1398,24979.1398
China,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,158505.0296,157082.4549,170826.423,166750.4307,159874.9572,148024.4635,135348.8644,131388.3682,136078.8907,136433.1854,136433.1854
"China, mainland",Fertilizers Manufacturing,Emissions (N2O),kt,108.2108,107.822,117.7085,114.3961,108.2099,101.9704,93.8515,91.0374,94.2563,94.2563,94.2563
"China, mainland",Fertilizers Manufacturing,Emissions (CO2),kt,128238.8674,126859.9167,137981.2021,135008.7835,129680.0778,119232.0067,108766.3836,105644.2717,109635.6385,109635.6385,109635.6385
"China, mainland",Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,28675.87,28572.8276,31192.753,30314.9747,28675.6272,27022.147,24870.6523,24124.9049,24977.9211,24977.9211,24977.9211
"China, mainland",Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,156914.7373,155432.7443,169173.9551,165323.7582,158355.705,146254.1537,133637.0359,129769.1766,134613.5596,134613.5596,134613.5596
"China, Taiwan Province of",Fertilizers Manufacturing,Emissions (N2O),kt,0.0032,0.0033,0.0035,0.0035,0.0037,0.0039,0.004,0.0041,0.0044,0.0046,0.0046
"China, Taiwan Province of",Fertilizers Manufacturing,Emissions (CO2),kt,1589.4353,1648.8334,1651.55,1425.7574,1518.2735,1769.2745,1710.7701,1618.1146,1464.1563,1818.4071,1818.4071
"China, Taiwan Province of",Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,0.857,0.8772,0.918,0.915,0.9786,1.0354,1.0584,1.077,1.1747,1.2187,1.2187
"China, Taiwan Province of",Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,1590.2923,1649.7106,1652.4679,1426.6725,1519.2522,1770.3098,1711.8286,1619.1916,1465.3311,1819.6258,1819.6258
Colombia,Fertilizers Manufacturing,Emissions (N2O),kt,0.253,0.2564,0.266,0.263,0.2792,0.2934,0.2981,0.3014,0.327,0.3375,0.3375
Colombia,Fertilizers Manufacturing,Emissions (CO2),kt,1177.4955,1125.4114,1059.55,356.244,365.6317,993.0104,1008.9127,1020.4676,1107.181,1142.7795,1142.7795
Colombia,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,67.0453,67.9449,70.4998,69.7075,73.9965,77.746,78.9848,79.8835,86.6656,89.4462,89.4462
Colombia,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,1244.5408,1193.3564,1130.0498,425.9515,439.6281,1070.7564,1087.8976,1100.3511,1193.8466,1232.2258,1232.2258
Croatia,Fertilizers Manufacturing,Emissions (N2O),kt,0.1333,0.1492,0.1704,0.1465,0.1645,0.1796,0.1499,0.1687,0.1754,0.2003,0.2003
Croatia,Fertilizers Manufacturing,Emissions (CO2),kt,670.2997,1467.6958,1575.3925,1530.8595,1505.4746,1716.4366,1437.2948,1640.2535,1471.5958,1642.1748,1642.1748
Croatia,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,35.3147,39.5293,45.1579,38.8297,43.5981,47.6001,39.7193,44.7039,46.4802,53.0856,53.0856
Croatia,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,705.6144,1507.2251,1620.5503,1569.6891,1549.0727,1764.0367,1477.0141,1684.9574,1518.0761,1695.2604,1695.2604
Cuba,Fertilizers Manufacturing,Emissions (N2O),kt,0.226,0.236,0.2089,0.1986,0.2031,0.2201,0.2247,0.2283,0.2488,0.2578,0.2578
Cuba,Fertilizers Manufacturing,Emissions (CO2),kt,87.1254,79.8066,83.6587,79.5577,81.3441,90.2304,91.5755,92.5301,100.2971,103.4293,103.4293
Cuba,Fertilizers Manufacturing,Emissions (CO2eq) from N2O (AR5),kt,59.8932,62.535,55.3484,52.6348,53.8167,58.3225,59.5503,60.5098,65.9331,68.3257,68.3257
Cuba,Fertilizers Manufacturing,Emissions (CO2eq) (AR5),kt,147.0186,142.3416,139.0071,132.1925,135.1609,148.5529,151.1258,153.0399,166.2302,171.7551,171.7551
