Area,Item,Element,Unit,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Americas,Nutrient potash K2O (total),Export Quantity,t,12628898.24,4995415.41,10839389.8,11410793.99,9795025.11,11119105.82,11876839.28,11997447.79,10997564.04,12769367.3,14122883.52,12509513.54,13582827.46,13873674.12,13684578.59
Northern America,Nutrient potash K2O (total),Production,t,7612926.0,7562212.0,11038470.0,10744202.0,10676778.74,10370479.0,11227079.0,11895278.74,11177378.74,12570778.74,14368278.74,12953038.73,13901098.73,13900918.73,13891258.74
Northern America,Nutrient potash K2O (total),Import Quantity,t,7457325.23,2860473.78,6238774.07,6521551.35,5173449.8,5908109.57,3980674.25,6285853.46,5424890.4,7517163.49,7877753.57,7080133.67,7262724.4,8306698.99,6722071.48
Northern America,Nutrient potash K2O (total),Export Quantity,t,12197808.78,4446511.32,9780485.94,10505279.58,8742033.73,9962508.12,10619222.25,10915498.77,9768876.48,11683556.19,13338767.8,12009360.21,12941169.32,13159375.28,13024319.44
Central America,Nutrient potash K2O (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central America,Nutrient potash K2O (total),Import Quantity,t,376825.94,170084.11,375735.99,495910.5,343486.86,386166.78,328504.78,435152.77,411218.2,684242.1,514503.09,459663.16,573351.02,536447.27,462716.93
Central America,Nutrient potash K2O (total),Export Quantity,t,27517.03,35310.96,17588.34,14282.83,12868.74,19862.29,16904.46,16810.04,20645.2,17438.55,18321.29,17454.9,19930.31,22426.02,19654.79
Caribbean,Nutrient potash K2O (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caribbean,Nutrient potash K2O (total),Import Quantity,t,87198.69,38323.43,68242.79,55883.63,153079.69,68046.55,105344.1,70232.88,66538.65,69719.03,92370.83,55755.12,30490.91,15910.61,23099.92
Caribbean,Nutrient potash K2O (total),Export Quantity,t,13787.84,11406.48,17396.59,8449.0,12176.71,10629.51,10700.88,7441.91,6216.68,3384.73,3743.8,2683.14,3280.3,3094.45,2711.04
South America,Nutrient potash K2O (total),Production,t,1028053.0,1175573.0,1185244.0,1339221.0,1368149.0,1404445.0,1523266.0,1616839.0,1610868.0,1503089.0,1547981.0,1103915.98,1272487.89,1331713.96,1256947.24
South America,Nutrient potash K2O (total),Import Quantity,t,4899019.73,2574437.82,4498906.13,5584892.84,5162362.46,5810904.92,6558938.78,5795455.38,5647128.4,7093164.73,7615434.46,7487841.37,8123756.03,9188060.35,8414469.83
South America,Nutrient potash K2O (total),Export Quantity,t,389784.59,502186.65,1023918.93,882782.57,1027945.93,1126105.9,1230011.7,1057697.07,1201825.68,1064987.82,762050.62,480015.28,618447.54,688778.36,637893.33
Asia,Nutrient potash K2O (total),Production,t,6309037.91,5328204.76,7391512.37,8568186.15,8434807.05,8214811.0,9748835.22,9093684.53,10137234.53,9983494.09,10385827.01,8340983.74,8619148.7,9271393.42,9336708.56
Asia,Nutrient potash K2O (total),Import Quantity,t,11508129.06,6431418.65,10827123.36,11885684.79,10732416.17,10772219.98,13607751.9,14247935.84,12188556.18,14840055.42,14354360.2,14304209.16,15079135.67,14188807.2,12436258.31
Asia,Nutrient potash K2O (total),Export Quantity,t,3476492.06,2059429.08,3400218.82,3485396.99,3226659.42,3362786.51,3934672.0,3451517.91,3648787.95,4624502.25,4617726.38,5008524.27,5430679.49,5413023.6,5369800.5
Central Asia,Nutrient potash K2O (total),Production,t,0.0,0.0,747.0,108742.0,125517.0,85903.0,98862.0,145861.26,139500.0,169621.0,204170.0,224822.0,238253.0,236845.0,280531.0
Central Asia,Nutrient potash K2O (total),Import Quantity,t,18250.3,10497.8,8248.62,27844.14,17789.17,13762.96,16119.29,17869.83,19901.68,22360.36,33030.87,22451.21,20463.34,22316.81,17381.79
Central Asia,Nutrient potash K2O (total),Export Quantity,t,105.54,115.5,2892.67,40244.81,52862.38,56423.3,15180.43,66153.5,53978.77,119591.51,136576.65,77683.39,139016.8,192863.65,218461.12
Eastern Asia,Nutrient potash K2O (total),Production,t,2912200.0,3627800.0,3967600.0,4915100.0,5299500.0,5098900.0,6104700.0,6042200.0,6810319.0,6136588.8,6324940.0,4252192.41,4257705.61,4767626.6,4288695.35
Eastern Asia,Nutrient potash K2O (total),Import Quantity,t,4457669.7,2002954.64,4334034.82,5027303.75,4996109.69,4749890.96,5954934.31,6824703.44,4774287.03,5764636.39,5724008.43,6743176.4,6590467.61,5870330.31,5712077.99
Eastern Asia,Nutrient potash K2O (total),Export Quantity,t,264278.74,351334.43,197379.69,166386.64,311551.18,302809.8,356908.87,365225.06,371280.97,357165.78,392974.0,642154.5,704476.25,553199.27,253355.55
Southern Asia,Nutrient potash K2O (total),Production,t,74990.52,35379.09,42955.75,36974.81,45013.27,9606.0,28707.6,21311.01,11683.16,10271.44,10271.44,18205.0,18836.0,21140.0,19325.0
Southern Asia,Nutrient potash K2O (total),Import Quantity,t,3549205.19,2871428.09,3104573.16,2268255.72,2006745.69,2070432.37,3062203.13,2920141.01,2985916.44,3736000.69,3373077.53,3291024.27,3784425.45,2447015.69,2370271.1
Southern Asia,Nutrient potash K2O (total),Export Quantity,t,32837.6,27311.87,11945.33,33343.02,16208.22,20006.19,21355.55,37544.19,27895.7,28383.4,46011.35,30678.88,30062.55,10909.32,6861.03
South-eastern Asia,Nutrient potash K2O (total),Production,t,0.0,0.0,0.0,0.0,0.0,42702.0,43118.0,13702.0,42700.37,44083.59,72320.55,123541.75,154701.22,230941.25,368558.21
South-eastern Asia,Nutrient potash K2O (total),Import Quantity,t,3301199.25,1412785.71,3208091.83,4374272.51,3525799.81,3737904.37,4328454.91,4171872.01,4090590.87,4959267.85,4867237.23,3849229.49,4265142.93,5413917.89,4000037.34
South-eastern Asia,Nutrient potash K2O (total),Export Quantity,t,117218.68,182302.51,162953.42,173332.59,196113.26,231518.76,317126.62,504249.81,421254.21,487485.04,509735.0,500185.82,524345.02,664187.26,938005.23
Western Asia,Nutrient potash K2O (total),Production,t,3321847.39,1665025.67,3380209.62,3507369.34,2964776.78,2977700.0,3473447.62,2870610.25,3133032.0,3622929.26,3774125.02,3722222.58,3949652.87,4014840.57,4379599.0
Western Asia,Nutrient potash K2O (total),Import Quantity,t,181804.61,133752.4,172174.92,188008.67,185971.8,200229.32,246040.25,313349.54,317860.16,357790.12,357006.14,398327.79,418636.34,435226.5,336490.09
Western Asia,Nutrient potash K2O (total),Export Quantity,t,3062051.49,1498364.77,3025047.72,3072089.93,2649924.39,2752028.47,3224100.52,2478345.35,2774378.3,3631876.54,3532429.38,3757821.68,4032778.86,3991864.09,3953117.57
Europe,Nutrient potash K2O (total),Production,t,15494824.0,9261162.0,15405647.0,16407177.2,15130080.0,15414417.35,18877048.0,18780625.75,17882496.9,19784027.12,19610732.12,19510928.14,20600334.86,21968520.88,18429309.75
Europe,Nutrient potash K2O (total),Import Quantity,t,6637465.73,2098167.75,4997912.95,5297704.23,5045904.47,5376713.38,5714508.28,5464680.06,5268689.38,6438505.41,5653197.0,5661769.52,5939255.67,5818684.78,4184280.81
Europe,Nutrient potash K2O (total),Export Quantity,t,15088075.67,7264613.34,14566214.57,14353375.01,14454171.68,13034051.49,17836238.94,18162839.94,20079848.66,25591046.89,16369074.59,17125990.07,16897475.03,19953209.56,14941411.67
Eastern Europe,Nutrient potash K2O (total),Production,t,12112066.0,6769809.0,12201693.0,12711525.0,11183411.0,11698736.0,15082272.0,14944918.0,14349418.0,16181510.0,16314361.0,16444095.0,17440124.0,18683691.0,15193591.0
Eastern Europe,Nutrient potash K2O (total),Import Quantity,t,1042238.49,349871.37,938405.82,1009545.63,1023567.85,1090950.01,1178631.47,1142109.89,1374953.36,1794713.68,1461737.05,1446797.39,1486208.05,1647732.16,957853.54
Eastern Europe,Nutrient potash K2O (total),Export Quantity,t,10097109.65,4504863.97,10448440.07,9900329.56,9913310.27,8108835.4,12846430.66,13138044.9,16340363.69,20757021.61,12113601.26,12876883.53,12419704.51,15088418.67,10708600.88
Northern Europe,Nutrient potash K2O (total),Production,t,403000.0,200000.0,293000.0,462000.0,540000.0,14000.0,18000.0,29000.0,35000.0,60000.0,49000.0,49000.0,99300.0,99300.0,233560.94
Northern Europe,Nutrient potash K2O (total),Import Quantity,t,1366380.25,426685.34,1054905.64,1011756.73,875091.58,1054300.98,1045041.29,982362.92,935986.37,1204278.05,1102571.61,1248423.47,1420593.06,925824.07,934462.04
Northern Europe,Nutrient potash K2O (total),Export Quantity,t,674942.11,418031.49,659695.25,729890.97,663229.44,837621.82,837728.98,911222.9,743464.54,680634.93,573795.17,750263.49,961969.22,979445.08,799400.74
Southern Europe,Nutrient potash K2O (total),Production,t,571742.0,416670.0,445333.0,611341.2,679249.0,733281.35,723676.0,751707.75,739073.65,693330.95,722371.45,603866.85,530411.1,592164.18,596155.09
Southern Europe,Nutrient potash K2O (total),Import Quantity,t,934030.73,392135.15,906095.98,777248.86,873996.13,874154.03,882608.48,911866.63,910333.58,977180.96,996775.19,959559.53,967985.63,1035860.16,673693.34
Southern Europe,Nutrient potash K2O (total),Export Quantity,t,363137.18,282105.71,531706.43,569316.67,596663.1,684424.14,706380.76,674415.84,645517.61,620988.15,672141.38,591515.24,468571.54,700301.36,407406.61
Western Europe,Nutrient potash K2O (total),Production,t,2408016.0,1874683.0,2465621.0,2622311.0,2727420.0,2968400.0,3053100.0,3055000.0,2759005.25,2849186.17,2524999.67,2413966.29,2530499.76,2593365.7,2406002.72
Western Europe,Nutrient potash K2O (total),Import Quantity,t,3294816.27,929475.88,2098505.51,2499153.01,2273248.91,2357308.34,2608227.04,2428340.62,2047416.07,2462332.72,2092113.16,2006989.13,2064468.92,2209268.39,1618271.88
Western Europe,Nutrient potash K2O (total),Export Quantity,t,3952886.74,2059612.18,2926372.82,3153837.81,3280968.88,3403170.14,3445698.54,3439156.3,2350502.81,3532402.2,3009536.78,2907327.81,3047229.76,3185044.45,3026003.43
Oceania,Nutrient potash K2O (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,Nutrient potash K2O (total),Import Quantity,t,494778.93,141248.63,340575.14,320883.64,297395.3,310904.19,420492.83,400144.85,370915.49,444189.52,442782.07,516523.9,486768.29,599318.34,368976.82
Oceania,Nutrient potash K2O (total),Export Quantity,t,1257.72,9840.37,1223.99,1169.83,1092.79,808.32,2173.42,1826.58,2125.28,2104.98,1697.39,1779.43,846.3,795.78,1891.29
Australia and New Zealand,Nutrient potash K2O (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
