Area,Item,Element,Unit,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
"China, Hong Kong SAR",Nutrient phosphate P2O5 (total),Import Quantity,t,418.29,296.2,324.49,217.39,364.27,197.08,229.52,280.99,376.27,300.89,340.75,322.68,412.69,539.99,557.22
"China, Hong Kong SAR",Nutrient phosphate P2O5 (total),Export Quantity,t,493.53,680.49,14.68,41.93,41.39,321.49,69.16,89.76,18.25,12.14,33.53,14.13,73.15,456.21,343.22
"China, mainland",Nutrient phosphate P2O5 (total),Production,t,12140900.0,14160900.0,17015000.0,17662600.0,16558600.0,16328700.0,17430100.0,18572000.0,18591100.0,15010500.0,13237600.0,15646839.23,14886826.8,15876680.34,12867517.07
"China, mainland",Nutrient phosphate P2O5 (total),Import Quantity,t,148198.33,417544.5,407420.43,243652.68,322301.61,329276.8,293269.95,263623.65,168070.36,208320.54,265313.31,235421.66,272654.75,182496.65,113249.57
"China, mainland",Nutrient phosphate P2O5 (total),Export Quantity,t,1561763.9,1777768.22,3162963.94,4230583.67,3072172.62,2895784.0,4382959.61,6193299.25,3999265.54,5314791.36,5755366.63,5343841.38,4917433.77,5959256.79,3401082.31
"China, Taiwan Province of",Nutrient phosphate P2O5 (total),Production,t,121723.0,73958.0,92586.96,82466.04,78184.36,61628.96,55552.92,42461.68,42772.93,49918.28,41898.56,39675.92,20411.94,36581.5,31404.2
"China, Taiwan Province of",Nutrient phosphate P2O5 (total),Import Quantity,t,6992.37,20399.88,15914.84,13740.77,15728.16,14719.73,27832.4,18717.6,23003.14,22739.72,31842.43,28596.53,31667.36,14381.53,610.43
"China, Taiwan Province of",Nutrient phosphate P2O5 (total),Export Quantity,t,1167.62,688.87,260.1,323.37,820.15,61.54,1250.33,87.43,202.2,274.03,1705.3,1911.72,1401.4,4104.2,60.62
Colombia,Nutrient phosphate P2O5 (total),Production,t,50000.0,55000.0,55000.0,45000.0,85000.0,53500.0,67100.0,64000.0,65100.0,66100.0,70900.0,60000.0,59100.0,59100.0,59100.0
Colombia,Nutrient phosphate P2O5 (total),Import Quantity,t,113380.54,98406.35,156538.64,170038.46,152040.02,159390.7,183716.75,195348.61,193087.53,198985.35,184325.48,174192.5,190840.21,188112.76,140481.0
Colombia,Nutrient phosphate P2O5 (total),Export Quantity,t,7696.33,8626.63,13482.51,16482.46,7115.87,15324.95,24102.7,27826.39,31539.47,20551.76,32621.05,10236.19,4799.86,11844.16,7391.69
Comoros,Nutrient phosphate P2O5 (total),Import Quantity,t,7.82,7.86,4.86,0.02,4.68,2.46,0.5,4.13,3.87,0.89,21.06,40.76,131.29,69.53,79.93
Comoros,Nutrient phosphate P2O5 (total),Export Quantity,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo,Nutrient phosphate P2O5 (total),Import Quantity,t,55.81,539.79,65.54,129.85,165.82,365.42,78.86,207.03,239.33,413.44,278.29,353.61,1063.31,1160.59,608.05
Congo,Nutrient phosphate P2O5 (total),Export Quantity,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cook Islands,Nutrient phosphate P2O5 (total),Production,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585112.0469018406,0.0,0.0,0.0,0.0,0.0,0.0
Cook Islands,Nutrient phosphate P2O5 (total),Import Quantity,t,18.31,9.44,3.38,8.47,15.44,2.98,3.43,20.03,6.87,4.34,6.42,4.42,17.05,3.36,1.88
Cook Islands,Nutrient phosphate P2O5 (total),Export Quantity,t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,Nutrient phosphate P2O5 (total),Production,t,451776.9243770492,437242.16859477124,543257.9171288743,573903.4248780487,552980.0077294686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,Nutrient phosphate P2O5 (total),Import Quantity,t,23939.92,17452.68,18707.2,27248.87,24587.98,20023.94,21880.55,26071.02,13534.51,23266.03,19528.05,17763.95,23294.83,21046.02,16526.93
Costa Rica,Nutrient phosphate P2O5 (total),Export Quantity,t,2754.22,786.59,1548.92,1634.13,3210.09,2731.1,4137.36,3557.82,2887.06,2855.89,2840.64,2425.73,2238.63,3470.85,2789.8
Côte d'Ivoire,Nutrient phosphate P2O5 (total),Import Quantity,t,19029.97,10029.87,26345.34,9396.63,16888.75,39536.93,41029.61,48574.42,54784.82,47323.27,28090.03,67750.18,57906.58,97881.64,34397.2
Côte d'Ivoire,Nutrient phosphate P2O5 (total),Export Quantity,t,13046.8,3224.84,3802.07,197.98,1608.98,7827.62,10653.43,5916.18,3849.72,4622.98,1400.62,9818.17,9796.63,11350.96,16753.46
Croatia,Nutrient phosphate P2O5 (total),Production,t,119563.0,54632.0,68298.0,84977.0,70856.0,37007.0,27179.0,50694.95,50760.45,56317.35,56194.45,42172.05,37340.3,28468.0,14242.0
Croatia,Nutrient phosphate P2O5 (total),Import Quantity,t,1553.22,6104.39,73683.88,73218.67,70555.75,51810.26,41944.42,60345.69,52878.11,52523.55,56236.21,41745.82,40119.39,34175.55,25104.33
