Area,Item,Element,Unit,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Turkmenistan,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,2.65,2.72,2.73,2.76,2.72,2.9,3.51,18.23,9.75,10.66,19.91,20.48,16.26,12.42,17.18
Tuvalu,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,3.27,3.27,3.4,2.62,2.16,2.12,1.54,2.12,1.89,2.19,2.74,2.32,2.52,0.94,0.94
Uganda,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.64,0.47,0.31,0.29,0.39,0.45,0.37,0.65,0.26,0.44,0.67,0.7,0.44,0.44,0.56
Ukraine,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,5.2,4,4.72,5.84,6.63,7.04,7.16,6.63,8.52,10.79,12.16,10.87,12.81,13.35,9.59
United Arab Emirates,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,15.69,42.78,40.74,42.49,49.02,53.15,43.35,50.13,54.84,48.57,39.14,41.19,45.24,40.24,40.24
United Kingdom of Great Britain and Northern Ireland,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,24.87,14.82,21.41,22.01,21.03,21.52,22.41,22.64,22.71,22.27,21.63,21.23,20.22,19.77,12.75
United Republic of Tanzania,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.71,1.13,2.04,2.13,2.91,1.98,1.9,2.29,3.72,3.13,3.79,1.95,2.12,0.88,4.34
United States of America,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,17.3,22.95,23.69,23.99,27.02,26.91,24.37,24.75,24.7,24.99,25.31,24.95,25.78,24.35,23.73
Uruguay,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,45.12,39.62,49.07,58.49,62.65,97.48,66.96,44.55,55.95,57.66,62.81,52.18,53.49,55.05,41.98
Uzbekistan,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,31.77,40.91,40.97,41.04,41.66,44.9,49.43,49.84,51.08,51.11,33.02,31.07,33.73,30.54,12.1
Venezuela (Bolivarian Republic of),Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,24.22,18.57,22.16,27.32,36.99,37.81,36.64,38.09,30.42,27.94,29,1.41,6.47,2.63,2.63
Viet Nam,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,76.95,96.88,73.24,68.53,67.99,83.55,85.28,65.68,71.48,75.74,65.25,63.88,64.03,64.03,55.3
Yemen,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,22.88,20.525,22.69,26.92,2.46,5.66,0.83,0.39,0.87,0.64,0.22,1.61,2,0.94,1.19
Zambia,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,2.88,1.74,2.45,7.37,6.64,8.08,10.49,10.51,10.25,9.73,9.59,12.85,15.06,8.86,10.83
Zimbabwe,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,7.12,9.87,11.81,9.18,4.89,9.44,9.32,6.88,11.38,12.55,13.6,14.37,14.61,15.27,15.08
