Area,Item,Element,Unit,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Central African Republic,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.04,0.04,0.11,0.13,0.03,0.02,0,0.02,0.04,0.04,0.01,0.01,0.01,0.01,0
Chad,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.56,0.49,0.81,0.38,0.52,0.75,0.32,0.34,0.79,0.93,0.26,0.97,0.91,0.87,0.87
Chile,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,49.41,36.14,47.36,43.6,41.95,44.78,53.36,55.29,44.86,46.02,49.33,41.24,50.22,48.92,30.55
China,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,80.09,94.93,106.26,102.5,104.08,104.34,101.7,96.95,92.48,90.62,86.45,82.73,80.55,79.38,75.43
"China, Hong Kong SAR",Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,77.43,91.41,102.08,97.95,98.8,98.51,95.71,90.84,89.59,86.4,79.23,80.33,77.72,76.69,76.69
"China, mainland",Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,79.59,94.55,105.91,102.15,103.73,103.96,101.35,96.6,92.06,90.26,86.07,82.38,80.14,79.07,75.09
"China, Taiwan Province of",Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,162.53,157.18,164.01,160.36,163.11,166.35,159.63,154.72,161.07,148.96,147.9,138.65,145.39,129.91,130.64
Colombia,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,44.98,43.17,59.07,58.24,66.59,57.3,63.76,63.19,60.09,63.02,50.05,48.53,52.11,49.11,39.36
Comoros,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.07,0.07,0.04,26.92,0.04,0.02,0,0.04,0.03,0.01,0.18,0.35,1.11,0.59,0.68
Congo,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.12,1.32,0.15,0.27,0.28,0.58,0.13,0.33,0.45,0.62,0.44,0.56,1.41,1.62,0.89
Cook Islands,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,7.73,8.1,3,3.16,3.19,3.35,2.14,10.54,3.83,2.28,3.38,2.32,8.98,5.9,0.99
Costa Rica,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,42.37,31.45,31.76,46.81,39.09,31.39,32.19,40.91,19.25,37.5,31.13,29.03,40.14,33.51,26.27
Côte d'Ivoire,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.61,0.88,2.93,1.17,2.13,3.91,3.58,3.79,4.99,3.79,2.1,5.01,3.83,3.53,1.3
Croatia,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,95.71,46.39,103.45,100.52,33.31,30.21,43.4,32.14,14,38.36,40.69,38.38,36.37,36.76,34.78
Cuba,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,7.01,1.47,6.55,5.59,8.09,7.69,5.74,7.88,5.59,3.96,2.16,2.16,2.16,2.16,0.17
Cyprus,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,18.84,41.7,46.53,24.28,42.95,41.62,36.92,38.96,49.81,41.52,39.67,42.62,40.23,35.93,30.02
Czechia,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,13.35,13.38,15.45,16.78,16.07,16.29,16.56,19.17,18.69,21.76,20.31,22.92,18.72,14.32,14.81
Democratic People's Republic of Korea,Nutrient phosphate P2O5 (total),Use per area of cropland,kg/ha,0.13,0.03,0.05,0.07,0.09,1.12,1.02,0.62,1.79,2.99,1.43,4.71,0.64,4.69,0
